   1.32879494   0.26211482   0.59110796
   1.34035168   0.28495075   0.63549828
   1.35194854   0.30915485   0.68164088
   1.36358566   0.33472988   0.72940257
   1.37526318   0.36166553   0.77861608
   1.38698125   0.38993811   0.82908069
   1.39874000   0.41950863   0.88055949
   1.41053957   0.45032147   0.93277827
   1.42238010   0.48230204   0.98542253
   1.43426175   0.51536095   1.03814829
   1.44618464   0.54940152   1.09059929
   1.45814893   0.58432734   1.14242353
   1.47015475   0.62004280   1.19327512
   1.48220225   0.65645566   1.24282005
   1.49429158   0.69347508   1.29073320
   1.50642289   0.73100683   1.33669003
   1.51859630   0.76895308   1.38036754
   1.53081199   0.80721606   1.42145236
   1.54307008   0.84569481   1.45963581
   1.55537072   0.88428756   1.49461950
   1.56771408   0.92289506   1.52612201
   1.58010028   0.96142017   1.55387914
   1.59252949   0.99976409   1.57763833
   1.60500185   1.03782821   1.59716309
   1.61751751   1.07550995   1.61222715
   1.63007662   1.11271225   1.62263075
   1.64267933   1.14934046   1.62819398
   1.65532580   1.18530932   1.62877231
   1.66801617   1.22053786   1.62424789
   1.68075060   1.25495394   1.61452897
   1.69352924   1.28848288   1.59954430
   1.70635225   1.32105380   1.57924484
   1.71921977   1.35259715   1.55360652
   1.73213197   1.38305168   1.52263361
   1.74508899   1.41236346   1.48636129
   1.75809100   1.44048825   1.44485437
   1.77113814   1.46738661   1.39820195
   1.78423059   1.49302040   1.34651401
   1.79736848   1.51735164   1.28992062
   1.81055199   1.54034331   1.22857193
   1.82378127   1.56195914   1.16263808
   1.83705648   1.58216365   1.09230907
   1.85037777   1.60092226   1.01779446
   1.86374532   1.61820129   0.93932311
   1.87715927   1.63396809   0.85714269
   1.89061979   1.64819105   0.77151925
   1.90412704   1.66083967   0.68273656
   1.91768119   1.67188466   0.59109542
   1.93128239   1.68129795   0.49691295
   1.94493082   1.68905280   0.40052161
   1.95862663   1.69512384   0.30226835
   1.97236998   1.69948713   0.20251349
   1.98616105   1.70212025   0.10162953
   2.00000000   1.70300232   0.00000000
