#r,   l, node, open or close = 00open    00close    01close    10open    10close    11close    20open    20close    21close    30open    30close    31close    40open    40close    41close    50open    50close    51close    
   0.15845647   0.14746707   0.25641956  -0.48162438   0.02012057   0.04513693  -0.12304141   0.00254613   0.00697957  -0.02493572   0.00031145   0.00100608  -0.00447693   0.00003737   0.00013870  -0.00074484   0.00000443   0.00001854  -0.00011752
   0.16595009   0.15437014   0.26825956  -0.50229018   0.02205392   0.04944041  -0.13444223   0.00292202   0.00800410  -0.02853409   0.00037422   0.00120791  -0.00536421   0.00004701   0.00017433  -0.00093439   0.00000583   0.00002439  -0.00015434
   0.17346973   0.16128730   0.28010084  -0.52273851   0.02408117   0.05394653  -0.14631765   0.00333435   0.00912656  -0.03246149   0.00044624   0.00143923  -0.00637792   0.00005857   0.00021704  -0.00116099   0.00000759   0.00003173  -0.00020039
   0.18101547   0.16821807   0.29194134  -0.54295476   0.02620291   0.05865567  -0.15865984   0.00378500   0.01035170  -0.03673113   0.00052843   0.00170287  -0.00752947   0.00007236   0.00026788  -0.00142985   0.00000978   0.00004085  -0.00025745
   0.18858740   0.17516199   0.30377900  -0.56292421   0.02841969   0.06356810  -0.17146030   0.00427587   0.01168431  -0.04135587   0.00062176   0.00200183  -0.00883072   0.00008867   0.00032796  -0.00174667   0.00001249   0.00005209  -0.00032754
   0.19618563   0.18211857   0.31561169  -0.58263207   0.03073208   0.06868402  -0.18470985   0.00480885   0.01312918  -0.04634819   0.00072723   0.00233922  -0.01029395   0.00010786   0.00039854  -0.00211761   0.00001579   0.00006582  -0.00041297
   0.20381023   0.18908732   0.32743728  -0.60206345   0.03314060   0.07400351  -0.19839858   0.00538590   0.01469110  -0.05172016   0.00084591   0.00271833  -0.01193182   0.00013029   0.00048096  -0.00254933   0.00001981   0.00008249  -0.00051634
   0.21146131   0.19606773   0.33925359  -0.62120341   0.03564576   0.07952658  -0.21251589   0.00600894   0.01637486  -0.05748336   0.00097892   0.00314257  -0.01375737   0.00015639   0.00057669  -0.00304901   0.00002467   0.00010259  -0.00064054
   0.21913894   0.20305929   0.35105841  -0.64003697   0.03824807   0.08525313  -0.22705047   0.00667997   0.01818528  -0.06364891   0.00112742   0.00361551  -0.01578397   0.00018660   0.00068733  -0.00362434   0.00003049   0.00012666  -0.00078882
   0.22684324   0.21006148   0.36284949  -0.65854907   0.04094801   0.09118298  -0.24199029   0.00740096   0.02012714  -0.07022738   0.00129265   0.00414083  -0.01802534   0.00022140   0.00081459  -0.00428356   0.00003744   0.00015534  -0.00096480
   0.23457428   0.21707376   0.37462455  -0.67672466   0.04374603   0.09731583  -0.25732261   0.00817391   0.02220521  -0.07722876   0.00147588   0.00472240  -0.02049544   0.00026132   0.00096031  -0.00503542   0.00004568   0.00018930  -0.00117246
   0.24233216   0.22409561   0.38638129  -0.69454862   0.04664259   0.10365129  -0.27303394   0.00900085   0.02442428  -0.08466245   0.00167845   0.00536420  -0.02320855   0.00030692   0.00112649  -0.00588925   0.00005541   0.00022931  -0.00141622
   0.25011697   0.23112645   0.39811735  -0.71200587   0.04963809   0.11018884  -0.28911010   0.00988381   0.02678908  -0.09253720   0.00190174   0.00607037  -0.02617911   0.00035881   0.00131525  -0.00685492   0.00006683   0.00027623  -0.00170091
   0.25792881   0.23816574   0.40983035  -0.72908130   0.05273295   0.11692788  -0.30553616   0.01082484   0.02930433  -0.10086107   0.00214719   0.00684516  -0.02942179   0.00041764   0.00152888  -0.00794285   0.00008019   0.00033100  -0.00203183
   0.26576777   0.24521290   0.42151788  -0.74575982   0.05592754   0.12386770  -0.32229648   0.01182600   0.03197471  -0.10964140   0.00241632   0.00769300  -0.03295139   0.00048411   0.00176979  -0.00916401   0.00009575   0.00039465  -0.00241476
   0.27363395   0.25226735   0.43317750  -0.76202638   0.05922224   0.13100745  -0.33937470   0.01288937   0.03480489  -0.11888477   0.00271067   0.00861842  -0.03678281   0.00055897   0.00204057  -0.01052996   0.00011379   0.00046832  -0.00285599
   0.28152743   0.25932850   0.44480672  -0.77786595   0.06261736   0.13834619  -0.35675372   0.01401704   0.03779945  -0.12859697   0.00303187   0.00962610  -0.04093105   0.00064302   0.00234397  -0.01205276   0.00013463   0.00055325  -0.00336233
   0.28944832   0.26639574   0.45640302  -0.79326358   0.06611324   0.14588286  -0.37441573   0.01521109   0.04096297  -0.13878294   0.00338158   0.01072084  -0.04541108   0.00073712   0.00268291  -0.01374504   0.00015861   0.00065081  -0.00394113
   0.29739671   0.27346847   0.46796387  -0.80820436   0.06971016   0.15361627  -0.39234222   0.01647365   0.04429994  -0.14944675   0.00376154   0.01190759  -0.05023788   0.00084217   0.00306045  -0.01561996   0.00018613   0.00076246  -0.00460034
   0.30537269   0.28054606   0.47948667  -0.82267349   0.07340838   0.16154513  -0.41051394   0.01780682   0.04781482  -0.16059157   0.00417354   0.01319140  -0.05542634   0.00095912   0.00347986  -0.01769119   0.00021758   0.00088983  -0.00534846
   0.31337637   0.28762788   0.49096882  -0.83665625   0.07720816   0.16966800  -0.42891096   0.01921273   0.05151197  -0.17221959   0.00461943   0.01457745  -0.06099122   0.00108902   0.00394458  -0.01997291   0.00025343   0.00103465  -0.00619462
