# omega, I_mm' (mm'= -2-2 -2-1 -20 -21 -22 -1-2 .. .. 22) [-2=ixy -1=iyz 0=z2 1=zx 2=x2]
  358.98903  0.00497  -0.00057  -0.00028  -0.00057  -0.00139  -0.00057   0.00497  -0.00111  -0.00057  -0.00056  -0.00028  -0.00111   0.00650  -0.00111  -0.00018  -0.00057  -0.00057  -0.00111   0.00497  -0.00056  -0.00139  -0.00056  -0.00018  -0.00056   0.00650 
  359.05706  0.00526  -0.00062  -0.00030  -0.00062  -0.00145  -0.00062   0.00526  -0.00116  -0.00062  -0.00059  -0.00030  -0.00116   0.00657  -0.00116  -0.00018  -0.00062  -0.00062  -0.00116   0.00526  -0.00059  -0.00145  -0.00059  -0.00018  -0.00059   0.00657 
  359.12509  0.00558  -0.00068  -0.00031  -0.00068  -0.00153  -0.00068   0.00558  -0.00122  -0.00068  -0.00062  -0.00031  -0.00122   0.00666  -0.00122  -0.00018  -0.00068  -0.00068  -0.00122   0.00558  -0.00062  -0.00153  -0.00062  -0.00018  -0.00062   0.00666 
  359.19312  0.00594  -0.00074  -0.00033  -0.00074  -0.00161  -0.00074   0.00594  -0.00129  -0.00074  -0.00065  -0.00033  -0.00129   0.00677  -0.00129  -0.00019  -0.00074  -0.00074  -0.00129   0.00594  -0.00065  -0.00161  -0.00065  -0.00019  -0.00065   0.00677 
  359.26115  0.00637  -0.00082  -0.00035  -0.00082  -0.00170  -0.00082   0.00637  -0.00137  -0.00082  -0.00069  -0.00035  -0.00137   0.00690  -0.00137  -0.00019  -0.00082  -0.00082  -0.00137   0.00637  -0.00069  -0.00170  -0.00069  -0.00019  -0.00069   0.00690 
  359.32918  0.00686  -0.00091  -0.00037  -0.00091  -0.00181  -0.00091   0.00686  -0.00145  -0.00091  -0.00073  -0.00037  -0.00145   0.00705  -0.00145  -0.00020  -0.00091  -0.00091  -0.00145   0.00686  -0.00073  -0.00181  -0.00073  -0.00020  -0.00073   0.00705 
  359.39721  0.00745  -0.00101  -0.00039  -0.00101  -0.00193  -0.00101   0.00745  -0.00154  -0.00101  -0.00078  -0.00039  -0.00154   0.00722  -0.00154  -0.00020  -0.00101  -0.00101  -0.00154   0.00745  -0.00078  -0.00193  -0.00078  -0.00020  -0.00078   0.00722 
  359.46524  0.00814  -0.00114  -0.00042  -0.00114  -0.00206  -0.00114   0.00814  -0.00165  -0.00114  -0.00083  -0.00042  -0.00165   0.00742  -0.00165  -0.00020  -0.00114  -0.00114  -0.00165   0.00814  -0.00083  -0.00206  -0.00083  -0.00020  -0.00083   0.00742 
  359.53326  0.00899  -0.00128  -0.00045  -0.00128  -0.00221  -0.00128   0.00899  -0.00177  -0.00128  -0.00089  -0.00045  -0.00177   0.00764  -0.00177  -0.00020  -0.00128  -0.00128  -0.00177   0.00899  -0.00089  -0.00221  -0.00089  -0.00020  -0.00089   0.00764 
  359.60129  0.01004  -0.00145  -0.00049  -0.00145  -0.00238  -0.00145   0.01004  -0.00191  -0.00145  -0.00096  -0.00049  -0.00191   0.00790  -0.00191  -0.00021  -0.00145  -0.00145  -0.00191   0.01004  -0.00096  -0.00238  -0.00096  -0.00021  -0.00096   0.00790 
