Ca    020 0 129 126   0.000000   0.000000   0.000000   2.664397   0.720000     2
   20   40   60   80  100  120  200  200  200  200                             3
  1.6308128E-03 3.2616255E-03 4.8924383E-03 6.5232511E-03 8.1540639E-03        4
 -2.4429532E+04-1.2164995E+04-8.0764805E+03-6.0320304E+03-4.8052440E+03        5
 -3.9873166E+03-3.4030426E+03-2.9648171E+03-2.6239690E+03-2.3512941E+03        6
 -2.1282070E+03-1.9423164E+03-1.7850430E+03-1.6502582E+03-1.5334671E+03        7
 -1.4312981E+03-1.3411729E+03-1.2610854E+03-1.1894519E+03-1.1250052E+03        8
 -1.0137546E+03-9.2112980E+02-8.4283453E+02-7.7579913E+02-7.1777226E+02        9
 -6.6706510E+02-6.2238568E+02-5.8272966E+02-5.4730401E+02-5.1547428E+02       10
 -4.8672699E+02-4.6064207E+02-4.3687257E+02-4.1512936E+02-3.9516936E+02       11
 -3.7678708E+02-3.5980739E+02-3.4408003E+02-3.2947521E+02-3.1588053E+02       12
 -2.9134132E+02-2.6981287E+02-2.5078905E+02-2.3386936E+02-2.1873339E+02       13
 -2.0512194E+02-1.9282333E+02-1.8166313E+02-1.7149665E+02-1.6220265E+02       14
 -1.5367867E+02-1.4583778E+02-1.3860569E+02-1.3191887E+02-1.2572163E+02       15
 -1.1996585E+02-1.1460962E+02-1.0961572E+02-1.0495158E+02-1.0058810E+02       16
 -9.2662982E+01-8.5664955E+01-7.9452410E+01-7.3909799E+01-6.8941997E+01       17
 -6.4470083E+01-6.0428150E+01-5.6760817E+01-5.3420716E+01-5.0368656E+01       18
 -4.7570965E+01-4.4998641E+01-4.2626619E+01-4.0434154E+01-3.8402687E+01       19
 -3.6516329E+01-3.4761496E+01-3.3126075E+01-3.1599658E+01-3.0172952E+01       20
 -2.7586915E+01-2.5312122E+01-2.3302627E+01-2.1519633E+01-1.9929990E+01       21
 -1.8505486E+01-1.7222423E+01-1.6061809E+01-1.5007143E+01-1.4044970E+01       22
 -1.3164480E+01-1.2356878E+01-1.1614103E+01-1.0929810E+01-1.0298352E+01       23
 -9.7148241E+00-9.1748398E+00-8.6746219E+00-8.2107149E+00-7.7800399E+00       24
 -7.0075631E+00-6.3379532E+00-5.7553042E+00-5.2463726E+00-4.8000197E+00       25
 -4.4071750E+00-4.0601608E+00-3.7525403E+00-3.4788387E+00-3.2345757E+00       26
 -3.0160089E+00-2.8198982E+00-2.6436453E+00-2.4849111E+00-2.3418704E+00       27
 -2.2128695E+00-2.0964487E+00-1.9915848E+00-1.8969696E+00-1.8120158E+00       28
 -1.6671654E+00-1.5514046E+00-1.4601137E+00-1.3895049E+00-1.3366219E+00       29
 -1.2992047E+00-1.2755285E+00-1.2644734E+00-1.2653703E+00                     30
 O    0 8 0 110 107   0.000000  -4.544792   0.000000   1.880395   0.744000    57
   20   40   60   80  100  200  200  200  200  200                            58
  2.2133535E-03 4.4267070E-03 6.6400604E-03 8.8534139E-03 1.1066767E-02       59
 -7.1994156E+03-3.5848243E+03-2.3798684E+03-1.7773317E+03-1.4157702E+03       60
 -1.1747022E+03-1.0024922E+03-8.7332213E+02-7.7284843E+02-6.9246480E+02       61
 -6.2669435E+02-5.7188562E+02-5.2551053E+02-4.8576337E+02-4.5131960E+02       62
 -4.2118598E+02-3.9460275E+02-3.7097892E+02-3.4984793E+02-3.3083643E+02       63
 -2.9801779E+02-2.7069515E+02-2.4760259E+02-2.2783552E+02-2.1073010E+02       64
 -1.9578826E+02-1.8262885E+02-1.7095523E+02-1.6053304E+02-1.5117467E+02       65
 -1.4272812E+02-1.3506896E+02-1.2809430E+02-1.2171837E+02-1.1586906E+02       66
 -1.1048524E+02-1.0551493E+02-1.0091354E+02-9.6642593E+01-9.2668549E+01       67
 -8.5499050E+01-7.9212688E+01-7.3660053E+01-6.8723221E+01-6.4307894E+01       68
 -6.0337859E+01-5.6750888E+01-5.3495712E+01-5.0529741E+01-4.7817173E+01       69
 -4.5328039E+01-4.3036881E+01-4.0921957E+01-3.8964488E+01-3.7148414E+01       70
 -3.5459836E+01-3.3886523E+01-3.2417877E+01-3.1044518E+01-2.9758231E+01       71
 -2.7418220E+01-2.5348113E+01-2.3507761E+01-2.1864195E+01-2.0390002E+01       72
 -1.9062156E+01-1.7861205E+01-1.6770665E+01-1.5776769E+01-1.4867665E+01       73
 -1.4033192E+01-1.3264788E+01-1.2555515E+01-1.1898867E+01-1.1289477E+01       74
 -1.0722978E+01-1.0195127E+01-9.7025759E+00-9.2421942E+00-8.8112635E+00       75
 -8.0284321E+00-7.3377780E+00-6.7260870E+00-6.1824967E+00-5.6980350E+00       76
 -5.2651606E+00-4.8774342E+00-4.5294216E+00-4.2163733E+00-3.9342956E+00       77
 -3.6797217E+00-3.4494744E+00-3.2409803E+00-3.0519583E+00-2.8801930E+00       78
 -2.7240425E+00-2.5818515E+00-2.4522294E+00-2.3339494E+00-2.2258766E+00       79
 -2.0366781E+00-1.8780457E+00-1.7447821E+00-1.6327195E+00-1.5385450E+00       80
 -1.4595984E+00-1.3937354E+00-1.3392031E+00-1.2945895E+00-1.2588319E+00       81
Ca    020 0 129 126   0.000000   4.544792   4.544792   2.684304   0.720000   104
   20   40   60   80  100  120  200  200  200  200                           105
  1.6308128E-03 3.2616255E-03 4.8924383E-03 6.5232511E-03 8.1540639E-03      106
 -2.4403447E+04-1.2138820E+04-8.0502758E+03-6.0058442E+03-4.7791176E+03      107
 -3.9612861E+03-3.3771401E+03-2.9390711E+03-2.5984046E+03-2.3259338E+03      108
