# y(file,data)
#      x           y(1,1)       y(2,1)       y(3,1)     sum_data1  
     0.678666     0.087368     0.189106     0.010261     0.486103
     0.753498     0.144737     0.228598     0.007333     0.616599
     0.828330     0.210232     0.290537     0.007413     0.806133
     0.903162     0.253723     0.332372     0.007858     0.934182
     0.977994     0.198775     0.240626     0.008542     0.697112
     1.052826     0.455685     0.350336     0.009063     1.174484
     1.127658     0.242089     0.787683     0.008458     1.834371
     1.202489     0.149882     1.047297     0.014242     2.272961
     1.277321     0.199930     0.475800     0.014388     1.180306
     1.352153     0.116309     0.341146     0.013929     0.826459
     1.426985     0.261101     0.125350     0.022330     0.556461
     1.501817     0.052369     0.117067     0.069941     0.426387
     1.576649     0.094568     0.093801     0.078190     0.438549
     1.651481     0.123895     0.108535     0.148946     0.638857
     1.726313     0.040458     0.086167     0.143124     0.499039
     1.801145     0.059364     0.110962     0.220808     0.722904
     1.875977     0.146885     0.107803     0.089604     0.541700
     1.950808     0.098561     0.096172     0.193821     0.678547
     2.025640     0.054286     0.112644     0.277505     0.834584
     2.100472     0.053525     0.128343     0.233179     0.776571
     2.175304     0.062789     0.144027     0.157967     0.666777
     2.250136     0.079816     0.147749     0.138674     0.652662
     2.324968     0.074112     0.114434     0.162954     0.628888
     2.399800     0.069260     0.086592     0.212718     0.667881
     2.474632     0.051632     0.088103     0.266979     0.761798
     2.549464     0.040623     0.100358     0.235531     0.712401
     2.624296     0.042104     0.102060     0.114412     0.475048
     2.699127     0.046814     0.093672     0.092694     0.419546
     2.773959     0.049520     0.074925     0.073997     0.347363
     2.848791     0.053419     0.055273     0.063475     0.290915
     2.923623     0.049620     0.045267     0.055329     0.250813
     2.998455     0.027936     0.032860     0.073387     0.240429
     3.073287     0.029891     0.020702     0.162248     0.395791
     3.148119     0.100625     0.024414     0.234849     0.619151
     3.222951     0.180638     0.040485     0.281705     0.825019
     3.297783     0.215888     0.056181     0.169511     0.667273
     3.372615     0.128017     0.053300     0.071353     0.377324
     3.447446     0.076420     0.052491     0.149395     0.480191
     3.522278     0.165791     0.219134     0.196804     0.997669
     3.597110     0.173448     0.174397     0.164828     0.851899
     3.671942     0.149805     0.155663     0.146339     0.753811
     3.746774     0.150097     0.169772     0.124257     0.738155
     3.821606     0.157213     0.188294     0.110725     0.755250
     3.896438     0.181363     0.144971     0.094891     0.661087
     3.971270     0.172214     0.108449     0.096469     0.582051
     4.046102     0.178665     0.082063     0.104014     0.550820
     4.120934     0.196874     0.075982     0.124455     0.597748
     4.195765     0.235820     0.078748     0.140780     0.674875
     4.270597     0.189632     0.071727     0.106636     0.546357
     4.345429     0.158798     0.058905     0.094970     0.466549
     4.420261     0.205842     0.065104     0.119985     0.576020
     4.495093     0.179598     0.097565     0.141730     0.658188
     4.569925     0.211715     0.120583     0.162332     0.777545
     4.644757     0.150135     0.136485     0.166014     0.755134
     4.719589     0.198695     0.136559     0.124363     0.720540
     4.794421     0.132604     0.052714     0.077513     0.393059
     4.869253     0.115673     0.034115     0.152341     0.488585
     4.944084     0.144666     0.056468     0.141432     0.540466
     5.018916     0.109171     0.073311     0.090814     0.437421
     5.093748     0.065675     0.048952     0.063572     0.290723
     5.168580     0.055845     0.038958     0.058487     0.250734
     5.243412     0.050298     0.034655     0.059865     0.239339
     5.318244     0.040408     0.029403     0.049945     0.199103
     5.393076     0.025757     0.020060     0.031485     0.128846
     5.467908     0.017220     0.016682     0.007622     0.065829
     5.542740     0.012413     0.008218     0.001978     0.032806
     5.617572     0.001408     0.001930     0.000895     0.007060
     5.692403     0.000000     0.000588     0.000000     0.001175
     5.767235     0.000000     0.000002     0.000024     0.000051
     5.842067     0.000000     0.000002     0.000340     0.000685
     5.916899     0.000294     0.000340     0.001740     0.004454
     5.991731     0.001432     0.001630     0.004380     0.013452
     6.066563     0.003400     0.004011     0.007658     0.026738
     6.141395     0.005641     0.006888     0.011481     0.042377
     6.216227     0.008355     0.010255     0.016218     0.061300
     6.291059     0.011863     0.014753     0.021169     0.083707
     6.365891     0.015500     0.019792     0.026017     0.107118
     6.440722     0.019373     0.025115     0.030886     0.131374
     6.515554     0.023491     0.030600     0.035596     0.155883
     6.590386     0.027773     0.036155     0.038623     0.177329
     6.665218     0.031557     0.040977     0.038557     0.190626
     6.740050     0.033491     0.042887     0.033867     0.187000
     6.814882     0.033372     0.042071     0.026360     0.170235
     6.889714     0.031234     0.039341     0.026216     0.162347
     6.964546     0.027945     0.035955     0.039510     0.178875
     7.039378     0.024159     0.040708     0.046995     0.199565
     7.114210     0.023489     0.040410     0.040518     0.185346
     7.189041     0.030168     0.058848     0.053205     0.254275
     7.263873     0.045579     0.075211     0.054196     0.304392
     7.338705     0.058414     0.070390     0.042804     0.284802
     7.413537     0.048324     0.044615     0.055926     0.249405
     7.488369     0.040198     0.049457     0.073722     0.286556
     7.563201     0.035757     0.079485     0.064388     0.323503
     7.638033     0.039575     0.095846     0.066714     0.364693
     7.712865     0.036238     0.081129     0.059606     0.317708
     7.787697     0.033576     0.066937     0.043825     0.255100
     7.862529     0.031057     0.054605     0.031467     0.203201
     7.937360     0.024368     0.040911     0.027847     0.161883
     8.012192     0.016063     0.035191     0.031724     0.149892
     8.087024     0.017615     0.051629     0.031571     0.184014
     8.161856     0.035079     0.071469     0.025308     0.228634
     8.236688     0.051245     0.076387     0.024152     0.252323
     8.311520     0.051598     0.068984     0.022500     0.234565
     8.386352     0.024496     0.053504     0.020224     0.171951
     8.461184     0.016161     0.036926     0.019001     0.128015
     8.536016     0.011668     0.025969     0.018472     0.100551
     8.610848     0.010449     0.019213     0.021486     0.091848
     8.685679     0.009528     0.016501     0.023255     0.089040
     8.760511     0.008710     0.015814     0.024504     0.089348
     8.835343     0.008093     0.016421     0.025457     0.091850
     8.910175     0.006922     0.017843     0.028440     0.099487
     8.985007     0.009045     0.019559     0.032399     0.112961
     9.059839     0.009965     0.024372     0.030336     0.119382
     9.134671     0.012180     0.028582     0.027003     0.123352
     9.209503     0.014042     0.039191     0.026231     0.144885
     9.284335     0.016558     0.048403     0.026546     0.166457
     9.359167     0.018389     0.049429     0.030156     0.177558
     9.433998     0.019508     0.044736     0.031739     0.172457
     9.508830     0.021771     0.039384     0.033147     0.166834
     9.583662     0.018558     0.033740     0.031171     0.148379
